eid,pid,is_primary,posx,posy,posz,del_posx,del_posy,del_posz,del_t,globTime,propTime,localTime,ni_edep,tot_edep,tot_E,tot_KE,momx,momy,momz,px,py,pz
0,13,0,0.0297072,-0.0874946,-10001,0.00109396,-0.000621654,2,0.00670196,1.67884,0.160438,1.67884,0,0.625756,1104.95,999.291,1.69112,-3.50539,1099.88,0.00153754,-0.00318705,0.999994
0,13,0,0.855323,-0.541969,-9851,0.0110243,-0.0129154,2,0.00670743,2.18176,0.210984,2.18176,0,0.605734,1021.89,916.236,8.36546,-8.28456,1016.35,0.00823034,-0.00815074,0.999933
0,13,0,2.30084,-2.23624,-9701,0.0259548,-0.0284569,2,0.00671419,2.68514,0.265598,2.68514,0,0.69823,949.175,843.517,17.3006,-18.2786,942.94,0.0183409,-0.0193777,0.999644
0,13,0,3.20972,-4.87696,-9551,-0.00939448,-0.023394,2,0.00671909,3.18899,0.32376,3.18899,0,0.558668,891.642,785.983,-5.39395,-10.3037,885.283,-0.00609238,-0.0116379,0.999914
0,13,0,3.64797,-8.24061,-9401,0.00430613,-0.0235232,2,0.00672611,3.6934,0.385937,3.6934,0,0.659503,832.12,726.462,2.91978,-8.91771,825.332,0.00353748,-0.0108043,0.999935
0,13,0,0.153034,-9.4121,-9251,-0.0883687,-0.0122631,2,0.00674146,4.19851,0.453101,4.19851,0,0.574871,770.759,665.101,-33.8628,-7.31268,762.696,-0.0443531,-0.00957805,0.99897
0,13,0,-14.1011,-8.11139,-9101,-0.273908,0.0330167,2,0.00681577,4.70722,0.528077,4.70722,0,0.696626,685.353,579.695,-91.7175,13.7893,670.778,-0.135444,0.0203635,0.990576
0,13,0,-35.0775,3.07298,-8951,-0.103515,0.0786623,0.709435,0.00244203,5.21686,0.612015,5.21686,0,0.214525,615.068,509.41,-86.8969,66.9954,595.908,-0.143412,0.110567,0.983467
0,13,0,-35.181,3.15164,-8950.29,-0.188194,0.145093,1.29056,0.00444328,5.2213,0.612778,5.2213,0,0.403306,614.665,509.007,-88.1941,67.4715,595.247,-0.145651,0.111428,0.983041
0,13,0,-59.8585,19.0819,-8801,-0.373778,0.224801,2,0.00695607,5.74012,0.707412,5.74012,0,0.840479,552.509,446.851,-97.6836,59.3198,530.133,-0.180124,0.109383,0.977543
0,13,0,-82.8088,31.8621,-8651,-0.245471,0.12548,2,0.00689535,6.25935,0.813769,6.25935,0,0.884369,490.959,385.3,-60.2998,27.8175,474.833,-0.125768,0.0580191,0.990362
0,13,0,-102.328,42.1687,-8501,-0.251781,0.174689,2,0.0069634,6.77945,0.934504,6.77945,0,0.652293,428.581,322.923,-51.3162,37.3356,410.476,-0.123548,0.0898888,0.988259
0,13,0,-118.382,51.9025,-8351,-0.211452,0.066984,2,0.00700267,7.30295,1.07408,7.30295,0,1.04822,369.638,263.979,-37.7607,12.5279,351.974,-0.106604,0.035368,0.993672
0,13,0,-138.148,68.271,-8201,-0.32592,0.306928,2,0.0073073,7.84135,1.2502,7.84135,0,1.08778,298.073,192.415,-44.6688,44.3436,271.519,-0.160265,0.159098,0.974168
0,13,0,-159.418,109.657,-8051,-0.216788,0.756499,2,0.00810446,8.42411,1.49703,8.42411,0,0.82283,225.733,120.075,-17.8597,69.0625,186.288,-0.0895318,0.346214,0.933873
0,13,0,-162.839,156.234,-7901,0.0521894,0.367531,1.11794,0.00578001,9.11775,1.94197,9.11775,0,0.65016,142.647,36.9886,2.32471,29.7034,91.0867,0.0242572,0.309941,0.950446
0,13,0,-162.787,156.601,-7899.88,0.0225118,0.287639,0.882056,0.00460769,9.12236,1.94539,9.12236,0,0.497772,142.149,36.4909,1.38393,29.5535,90.3736,0.0145534,0.310785,0.950369
0,14,1,-137.907,60.7168,-7751,0.436091,-1.86451,2,0.00923593,106.835,0,0.54182,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,14,1,-105.2,-79.1217,-7601,0.436091,-1.86451,2,0.00923593,107.528,0,1.23451,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,14,1,-72.4929,-218.96,-7451,0.436091,-1.86451,2,0.00923593,108.221,0,1.92721,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,14,1,-39.7861,-358.799,-7301,0.436091,-1.86451,2,0.00923593,108.913,0,2.6199,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,14,1,-7.07921,-498.637,-7151,0.436091,-1.86451,2,0.00923593,109.606,0,3.3126,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,14,1,25.6276,-638.476,-7001,0.436091,-1.86451,2,0.00923593,110.299,0,4.00529,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,14,1,58.3345,-778.315,-6851,0.436091,-1.86451,2,0.00923593,110.991,0,4.69799,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,14,1,91.0414,-918.153,-6701,0.436091,-1.86451,2,0.00923593,111.684,0,5.39068,0,0,42.0817,42.0817,6.6278,-28.3373,30.3964,0.157499,-0.673387,0.722319
0,-12,1,-132.241,152.309,-7899,1.88625,-0.97483,-2,0.00972968,106.462,0,0.16867,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,9.22792,79.1963,-8049,1.88625,-0.97483,-2,0.00972968,107.192,0,0.898396,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,150.696,6.08409,-8199,1.88625,-0.97483,-2,0.00972968,107.921,0,1.62812,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,292.165,-67.0281,-8349,1.88625,-0.97483,-2,0.00972968,108.651,0,2.35785,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,433.634,-140.14,-8499,1.88625,-0.97483,-2,0.00972968,109.381,0,3.08757,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,575.102,-213.253,-8649,1.88625,-0.97483,-2,0.00972968,110.111,0,3.8173,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,716.571,-286.365,-8799,1.88625,-0.97483,-2,0.00972968,110.84,0,4.54703,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,858.039,-359.477,-8949,1.88625,-0.97483,-2,0.00972968,111.57,0,5.27675,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,-12,1,999.508,-432.589,-9099,0.492027,-0.254284,-0.521699,0.00253798,112.293,0,5.99929,0,0,30.6431,30.6431,19.8158,-10.241,-21.0108,0.646665,-0.334202,-0.685663
0,22,70,-278.954,575.916,-7899,-6.81455,23.8161,-2,0.082899,107.796,0,1.45338,0,0,10.8196,10.8196,-2.96673,10.3684,-0.870706,-0.2742,0.9583,-0.0804748
0,11,1,-162.787,156.601,-7899.88,0.181178,0.441959,0.242902,0.00163947,9.11939,0.000653792,0.00163947,0,0.261554,1.01985,0.508846,0.324287,0.626594,0.530267,0.367427,0.709949,0.600808
0,11,1,-162.606,157.043,-7899.64,0.0699028,0.0778715,0.312777,0.0010364,9.12043,0.00117308,0.00267587,0,0.157067,0.862779,0.35178,0.0168011,-0.165965,0.674863,0.0241682,-0.238738,0.970783
0,11,1,-162.536,157.121,-7899.33,0.0570334,-0.098793,0.1155,0.000567531,9.12099,0.00150922,0.0032434,0,0.06682,0.795959,0.28496,0.0338745,-0.192831,0.578013,0.0555074,-0.315977,0.947142
0,11,1,-162.479,157.023,-7899.21,0.0395856,0.0149288,0.102666,0.000412083,9.12141,0.00177377,0.00365548,0,0.0519354,0.744023,0.233024,0.163459,-0.0202048,0.515095,0.302262,-0.0373619,0.952492
0,11,1,-162.439,157.037,-7899.11,-0.00691011,-0.0117169,0.0570413,0.000241763,9.12165,0.00193981,0.00389725,0,0.0217616,0.722262,0.211263,-0.101216,-0.253792,0.431146,-0.198295,-0.497209,0.844667
0,11,1,-162.446,157.026,-7899.05,-0.00362466,-0.0212197,0.0464822,0.000238504,9.12189,0.00210856,0.00413575,0,0.0333648,0.688897,0.177898,0.0438062,-0.199534,0.414399,0.0948152,-0.431876,0.896936
0,11,1,-162.45,157.005,-7899,0.000495428,-0.00225663,0.00468666,2.60E-05,9.12191,0.00212783,0.00416174,0,0.00324754,0.685649,0.17465,0.171513,-0.264899,0.330767,0.375171,-0.579445,0.723526
0,22,58,-87.382,92.15,-8201,0.327765,0.296668,0.624674,0.00255271,7.86838,0,0.302775,0,0,0.485635,0.485635,-0.337955,0.104283,0.332795,-0.695903,0.214736,0.685279
0,22,58,-87.0542,92.4466,-8200.38,-1.39665,0.430966,1.37533,0.00669449,7.87507,0,0.30947,0,0,0.485635,0.485635,-0.337955,0.104283,0.332795,-0.695903,0.214736,0.685279
0,11,126,-87.0542,92.4466,-8200.38,0.168382,0.059564,0.330335,0.00122914,7.86961,0.000478291,0.00122914,0,0.185541,1.12765,0.61665,0.235205,-0.194869,0.957693,0.233983,-0.193857,0.952718
0,11,126,-86.8858,92.5062,-8200.04,0.113983,-0.0944354,0.464106,0.00182282,7.87143,0.00130431,0.00305196,0,0.473762,0.653886,0.142887,0.0162447,-0.235325,-0.332874,0.0398175,-0.576808,-0.815909
0,11,126,-86.7719,92.4118,-8199.58,0.00198073,-0.0286934,-0.0405876,0.000265947,7.8717,0.00151214,0.0033179,0,0.142887,0.510999,0,0,0,0,0.0398175,-0.576808,-0.815909
0,11,1,-35.181,3.15164,-8950.29,0.0378377,0.186432,0.0857464,0.00072078,5.21758,0.000326857,0.00072078,0,0.0622964,0.94728,0.436281,0.177264,0.692682,0.353537,0.222237,0.868421,0.443232
0,11,1,-35.1431,3.33807,-8950.2,0.0651201,0.254466,0.129876,0.00116079,5.21874,0.000953031,0.00188157,0,0.436281,0.510999,0,0,0,0,0.222237,0.868421,0.443232
0,22,42,-35.1431,3.33807,-8950.2,-0.502243,1.27864,1.20482,0.00609496,5.22367,0,0.00609496,0,0,0.117269,0.117269,-0.0322334,0.0820614,0.0773239,-0.274867,0.69977,0.659371
0,22,33,-72.3576,39.6195,-9101,-1.88892,1.312,2,0.0101665,4.83254,0,0.382002,0,0,0.717046,0.717046,-0.444394,0.308666,0.470526,-0.619756,0.430468,0.656201
0,22,33,15.9569,26.7378,-9101,0.49994,0.945406,2,0.00756517,4.73627,0,0.293317,0,0,0.275838,0.275838,0.060804,0.114983,0.243245,0.220434,0.416849,0.881842
0,22,31,-26.2874,-31.9404,-9101,-0.408125,-0.558732,2,0.00705923,4.72577,0,0.33169,0,0,0.858551,0.858551,-0.16557,-0.226668,0.811368,-0.192848,-0.264013,0.945043
0,22,31,-27.6188,132.907,-9101,-0.370771,3.0614,2,0.0122603,4.97589,0,0.590064,0,0,0.79793,0.79793,-0.0804912,0.664604,0.434183,-0.100875,0.83291,0.544137
0,22,31,-79.6033,242.82,-9099,-2.15162,2.25553,-2,0.012354,5.48296,0,1.09713,0,0,0.454957,0.454957,-0.264307,0.277071,-0.245682,-0.58095,0.609004,-0.540011
0,22,11,376.355,-212.64,-9851,9.11246,-5.1583,1.80278,0.0354419,3.42249,0,1.49632,0,0,0.300899,0.300899,0.203331,-0.165721,-0.147423,0.675744,-0.550752,-0.489941
0,22,11,385.468,-217.798,-9849.2,2.48646,-2.02654,-1.80278,0.0122738,3.43477,0,1.50859,0,0,0.300899,0.300899,0.203331,-0.165721,-0.147423,0.675744,-0.550752,-0.489941
0,11,187,385.468,-217.798,-9849.2,0.00326994,-0.000134314,0.00701061,6.33E-05,3.42256,5.78E-05,6.33E-05,0,0.0486154,0.510999,0,0,0,0,0.422644,-0.0173603,0.90613
0,22,7,45.8377,69.3957,-9851,0.759202,1.73655,2,0.00919089,2.33096,0,0.511176,0,0,0.0971075,0.0971075,0.0267566,0.0612016,0.0704862,0.275536,0.630246,0.725858
0,22,197,-153.307,-105.947,-9851,-4.90533,-3.04655,2,0.0203839,2.75585,0,0.794525,0,0,0.116647,0.116647,-0.0936336,-0.0581529,0.0381762,-0.802711,-0.498539,0.327281
